userId,model,k,precision,recall,hit_rate,f1,train_ratings,test_relevant_movies,recommendation_count
187569,Content-Based,5,0.0,0.0,0.0,0.0,19,3,20
187569,Content-Based,10,0.0,0.0,0.0,0.0,19,3,20
187569,Content-Based,20,0.0,0.0,0.0,0.0,19,3,20
32770,Content-Based,5,0.0,0.0,0.0,0.0,41,5,20
32770,Content-Based,10,0.0,0.0,0.0,0.0,41,5,20
32770,Content-Based,20,0.0,0.0,0.0,0.0,41,5,20
29063,Content-Based,5,0.0,0.0,0.0,0.0,882,48,20
29063,Content-Based,10,0.0,0.0,0.0,0.0,882,48,20
29063,Content-Based,20,0.0,0.0,0.0,0.0,882,48,20
139142,Content-Based,5,0.0,0.0,0.0,0.0,177,20,20
139142,Content-Based,10,0.0,0.0,0.0,0.0,177,20,20
139142,Content-Based,20,0.0,0.0,0.0,0.0,177,20,20
152507,Content-Based,5,0.6,0.13636363636363635,1.0,0.22222222222222218,648,22,20
152507,Content-Based,10,0.3,0.13636363636363635,1.0,0.18749999999999997,648,22,20
152507,Content-Based,20,0.2,0.18181818181818182,1.0,0.1904761904761905,648,22,20
199287,Content-Based,5,0.0,0.0,0.0,0.0,44,5,20
199287,Content-Based,10,0.0,0.0,0.0,0.0,44,5,20
199287,Content-Based,20,0.0,0.0,0.0,0.0,44,5,20
99938,Content-Based,5,0.2,0.02,1.0,0.03636363636363636,329,50,20
99938,Content-Based,10,0.1,0.02,1.0,0.03333333333333333,329,50,20
99938,Content-Based,20,0.1,0.04,1.0,0.05714285714285714,329,50,20
127225,Content-Based,5,0.0,0.0,0.0,0.0,153,5,20
127225,Content-Based,10,0.0,0.0,0.0,0.0,153,5,20
127225,Content-Based,20,0.05,0.2,1.0,0.08000000000000002,153,5,20
163471,Content-Based,5,0.0,0.0,0.0,0.0,31,6,20
163471,Content-Based,10,0.0,0.0,0.0,0.0,31,6,20
163471,Content-Based,20,0.0,0.0,0.0,0.0,31,6,20
44267,Content-Based,5,0.0,0.0,0.0,0.0,56,5,20
44267,Content-Based,10,0.0,0.0,0.0,0.0,56,5,20
44267,Content-Based,20,0.0,0.0,0.0,0.0,56,5,20
75454,Content-Based,5,0.0,0.0,0.0,0.0,46,9,20
75454,Content-Based,10,0.0,0.0,0.0,0.0,46,9,20
75454,Content-Based,20,0.0,0.0,0.0,0.0,46,9,20
37292,Content-Based,5,0.0,0.0,0.0,0.0,249,14,20
37292,Content-Based,10,0.0,0.0,0.0,0.0,249,14,20
37292,Content-Based,20,0.0,0.0,0.0,0.0,249,14,20
148868,Content-Based,5,0.0,0.0,0.0,0.0,39,9,20
148868,Content-Based,10,0.0,0.0,0.0,0.0,39,9,20
148868,Content-Based,20,0.0,0.0,0.0,0.0,39,9,20
169206,Content-Based,5,0.0,0.0,0.0,0.0,50,8,20
169206,Content-Based,10,0.0,0.0,0.0,0.0,50,8,20
169206,Content-Based,20,0.0,0.0,0.0,0.0,50,8,20
59404,Content-Based,5,0.0,0.0,0.0,0.0,49,10,20
59404,Content-Based,10,0.0,0.0,0.0,0.0,49,10,20
59404,Content-Based,20,0.0,0.0,0.0,0.0,49,10,20
183472,Content-Based,5,0.0,0.0,0.0,0.0,26,7,20
183472,Content-Based,10,0.0,0.0,0.0,0.0,26,7,20
183472,Content-Based,20,0.0,0.0,0.0,0.0,26,7,20
170246,Content-Based,5,0.0,0.0,0.0,0.0,22,4,20
170246,Content-Based,10,0.0,0.0,0.0,0.0,22,4,20
170246,Content-Based,20,0.0,0.0,0.0,0.0,22,4,20
145918,Content-Based,5,0.0,0.0,0.0,0.0,339,21,20
145918,Content-Based,10,0.0,0.0,0.0,0.0,339,21,20
145918,Content-Based,20,0.0,0.0,0.0,0.0,339,21,20
44889,Content-Based,5,0.0,0.0,0.0,0.0,134,26,20
44889,Content-Based,10,0.0,0.0,0.0,0.0,134,26,20
44889,Content-Based,20,0.0,0.0,0.0,0.0,134,26,20
48381,Content-Based,5,0.0,0.0,0.0,0.0,20,2,20
48381,Content-Based,10,0.0,0.0,0.0,0.0,20,2,20
48381,Content-Based,20,0.0,0.0,0.0,0.0,20,2,20
196648,Content-Based,5,0.0,0.0,0.0,0.0,104,12,20
196648,Content-Based,10,0.0,0.0,0.0,0.0,104,12,20
196648,Content-Based,20,0.05,0.08333333333333333,1.0,0.0625,104,12,20
111647,Content-Based,5,0.0,0.0,0.0,0.0,32,4,20
111647,Content-Based,10,0.0,0.0,0.0,0.0,32,4,20
111647,Content-Based,20,0.0,0.0,0.0,0.0,32,4,20
71397,Content-Based,5,0.0,0.0,0.0,0.0,447,44,20
71397,Content-Based,10,0.0,0.0,0.0,0.0,447,44,20
71397,Content-Based,20,0.0,0.0,0.0,0.0,447,44,20
16940,Content-Based,5,0.0,0.0,0.0,0.0,97,1,20
16940,Content-Based,10,0.0,0.0,0.0,0.0,97,1,20
16940,Content-Based,20,0.0,0.0,0.0,0.0,97,1,20
125813,Content-Based,5,0.0,0.0,0.0,0.0,73,8,20
125813,Content-Based,10,0.0,0.0,0.0,0.0,73,8,20
125813,Content-Based,20,0.0,0.0,0.0,0.0,73,8,20
163169,Content-Based,5,0.0,0.0,0.0,0.0,26,5,20
163169,Content-Based,10,0.0,0.0,0.0,0.0,26,5,20
163169,Content-Based,20,0.05,0.2,1.0,0.08000000000000002,26,5,20
182525,Content-Based,5,0.0,0.0,0.0,0.0,71,10,20
182525,Content-Based,10,0.0,0.0,0.0,0.0,71,10,20
182525,Content-Based,20,0.0,0.0,0.0,0.0,71,10,20
16860,Content-Based,5,0.2,0.07142857142857142,1.0,0.10526315789473682,89,14,20
16860,Content-Based,10,0.2,0.14285714285714285,1.0,0.16666666666666666,89,14,20
16860,Content-Based,20,0.15,0.21428571428571427,1.0,0.1764705882352941,89,14,20
70506,Content-Based,5,0.0,0.0,0.0,0.0,185,19,20
70506,Content-Based,10,0.0,0.0,0.0,0.0,185,19,20
70506,Content-Based,20,0.0,0.0,0.0,0.0,185,19,20
112549,Content-Based,5,0.0,0.0,0.0,0.0,93,14,20
112549,Content-Based,10,0.0,0.0,0.0,0.0,93,14,20
112549,Content-Based,20,0.0,0.0,0.0,0.0,93,14,20
134628,Content-Based,5,0.0,0.0,0.0,0.0,42,4,20
134628,Content-Based,10,0.0,0.0,0.0,0.0,42,4,20
134628,Content-Based,20,0.0,0.0,0.0,0.0,42,4,20
124271,Content-Based,5,0.0,0.0,0.0,0.0,44,3,20
124271,Content-Based,10,0.0,0.0,0.0,0.0,44,3,20
124271,Content-Based,20,0.0,0.0,0.0,0.0,44,3,20
